
This is a live sample of trace from HI-406BT - http://localhost:50000/console/output  with "Level" box checked.

View	Row	Time	Level	Description
	237	06:30:31	*	$GPGGA,063037.000,3334.5666,N,11739.7744,W,1,05,3.0,140.0,M,-34.4,M,,0000*6B
	238	06:30:31	*	$GPRMC,063037.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*6B
	239	06:30:31	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	240	06:30:32	*	$GPGGA,063038.000,3334.5666,N,11739.7744,W,1,05,3.0,140.0,M,-34.4,M,,0000*64
	241	06:30:32	*	$GPRMC,063038.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*64
	242	06:30:32	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	243	06:30:33	*	$GPGGA,063039.000,3334.5666,N,11739.7744,W,1,05,3.0,140.0,M,-34.4,M,,0000*65
	244	06:30:34	*	$GPRMC,063039.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*65
	245	06:30:34	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	246	06:30:34	*	$GPGGA,063040.000,3334.5666,N,11739.7744,W,1,05,3.0,140.0,M,-34.4,M,,0000*6B
	247	06:30:35	*	$GPRMC,063040.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*6B
	248	06:30:35	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	249	06:30:35	*	$GPGGA,063041.000,3334.5666,N,11739.7744,W,1,05,3.0,140.0,M,-34.4,M,,0000*6A
